snapshot_id,source_node,target_node,edge_type,weight
1774287547,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287547,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287547,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287547,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287547,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287577,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287577,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287577,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287577,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287577,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287577,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287607,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287607,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287607,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287607,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287607,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287607,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287637,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287637,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287637,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287637,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287637,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287637,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287667,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287667,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287667,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287667,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287667,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287667,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287697,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287697,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287697,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287697,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287697,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287697,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287727,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287727,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287727,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287727,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287727,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287727,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287757,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287757,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287757,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287757,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287757,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287757,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287787,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287787,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287787,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287787,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287787,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287787,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287817,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287817,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287817,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287817,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287817,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287817,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287847,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
